Filter,Channel,SNR (dB),RMSE (μV),NRMSE (%),Correlation,PRD (%)
DB4 LVL:4 THR:3.0 hard,P7-O1,3.9946594115303196,2.7626227352609987e-05,2.142238738327892,0.8693184222800612,50.01529645608049
DB4 LVL:4 THR:3.0 hard,FP1-F3,5.403910783214556,3.098108004094103e-05,1.24088515238808,0.9007761429492782,44.12812568968499
DB4 LVL:4 THR:3.0 hard,F3-C3,6.904762706552128,1.990929767422891e-05,1.880098841593893,0.9217174669015797,39.15497615695837
DB4 LVL:4 THR:3.0 soft,FP1-F7,4.927101403238366,3.22286019183168e-05,1.1688304572756472,0.8979775211897003,45.155434402647806
DB4 LVL:4 THR:3.0 soft,F7-T7,5.0226593772881944,2.3724726476423572e-05,1.8579049410493444,0.8990961487376654,44.86796558300964
DB4 LVL:4 THR:3.0 soft,T7-P7,3.3994612863019036,3.065006081898453e-05,2.3969008425075775,0.8630398530800473,51.50951062084373
DB4 LVL:4 THR:3.0 soft,P7-O1,3.8651389796875595,2.779094353350558e-05,2.1550114336018495,0.8681367975446191,50.31350324752747
DB4 LVL:4 THR:3.0 soft,FP1-F3,5.286810530480187,3.1180670143188876e-05,1.248879334453898,0.899810778150815,44.41241329704959
DB4 LVL:4 THR:3.0 soft,F3-C3,6.761375126270859,2.010557142000821e-05,1.8986336009868685,0.9203372844006564,39.540981427559814
DB4 LVL:4 THR:4.0 hard,FP1-F7,5.0245561754777315,3.2091796064888896e-05,1.163868937423641,0.8983697511146979,44.96375597501948
DB4 LVL:4 THR:4.0 hard,F7-T7,5.596601495120085,2.308217306630041e-05,1.8075859982053768,0.9024240890205214,43.65277499612125
DB4 LVL:4 THR:4.0 hard,T7-P7,3.827058688406959,3.0184507755047667e-05,2.3604935891003973,0.8651870780868237,50.727117051282875
DB4 LVL:4 THR:4.0 hard,P7-O1,3.968815599682354,2.7683785076737234e-05,2.146701974829264,0.8687287295025179,50.119500573378815
DB4 LVL:4 THR:4.0 hard,FP1-F3,5.376669139451203,3.105412402459683e-05,1.2438107829558323,0.9002784874483326,44.23216641671514
DB4 LVL:4 THR:4.0 hard,F3-C3,6.86499689162522,1.998493300393722e-05,1.8872413283905134,0.9210877022954654,39.30372573013824
DB4 LVL:4 THR:4.0 soft,FP1-F7,4.878163676904544,3.2350514187327265e-05,1.173251833464914,0.8971959396007076,45.326245456758436
DB4 LVL:4 THR:4.0 soft,F7-T7,4.743950914518511,2.4239033906078858e-05,1.8981808243445433,0.8946296567235912,45.84061865345878
DB4 LVL:4 THR:4.0 soft,T7-P7,3.2135026315778936,3.1019053122935e-05,2.4257568362832855,0.8597756920520276,52.129627269603304
DB4 LVL:4 THR:4.0 soft,P7-O1,3.8164952884677037,2.788730833676764e-05,2.1624839129934244,0.86719399714279,50.4879647887856
DB4 LVL:4 THR:4.0 soft,FP1-F3,5.239793967688198,3.129784656793647e-05,1.2535726016184725,0.8990396399735048,44.57931438611094
DB4 LVL:4 THR:4.0 soft,F3-C3,6.698404608820422,2.0222245929928332e-05,1.9096515492105421,0.9193672416785655,39.77044143809352
DB4 LVL:5 THR:0.5 hard,FP1-F7,3.7360414395158448,3.579982549542384e-05,1.298347551974417,0.8707870285414167,50.15906913622883
DB4 LVL:5 THR:0.5 hard,F7-T7,4.116751139820884,2.6332485541002435e-05,2.062120928785261,0.8699530105684184,49.79973346132762
DB4 LVL:5 THR:0.5 hard,T7-P7,3.153353309900231,3.1924740526759035e-05,2.4965835440701007,0.8472633778301397,53.651696515141076
DB4 LVL:5 THR:0.5 hard,P7-O1,2.641767270016531,3.076084158626633e-05,2.3853081938617184,0.8343327461108637,55.690289938567716
DB4 LVL:5 THR:0.5 hard,FP1-F3,3.9120695528029548,3.522655431853105e-05,1.4109291272574254,0.8688230023747133,50.175197718363265
DB4 LVL:5 THR:0.5 hard,F3-C3,3.7229383829909097,2.6426286683915476e-05,2.495519018050037,0.8562973403032516,51.97172908640696
DB4 LVL:5 THR:0.5 soft,FP1-F7,3.700253769721063,3.582364082535352e-05,1.29921125940555,0.8709176591734235,50.19243675084465
DB4 LVL:5 THR:0.5 soft,F7-T7,3.9598699559237187,2.6412403301489065e-05,2.068379361405475,0.8701393003259551,49.950873131180025
DB4 LVL:5 THR:0.5 soft,T7-P7,3.028419597675312,3.1981422533214286e-05,2.5010161991904276,0.8476121404067364,53.74695447990534
DB4 LVL:5 THR:0.5 soft,P7-O1,2.5961423579258143,3.077995711720324e-05,2.3867904820639434,0.8344515291933272,55.72489723164911
