Filter,Channel,SNR (dB),RMSE (μV),NRMSE (%),Correlation,PRD (%)
DB4 LVL:3 THR:4.0 hard,F3-C3,7.956839261921607,1.7963514884663094e-05,1.6963523313696087,0.9369953685002822,35.3282676522838
DB4 LVL:3 THR:4.0 soft,FP1-F7,5.125134433196493,3.1741359191374574e-05,1.1511596895278087,0.9010465110868964,44.47275952117543
DB4 LVL:3 THR:4.0 soft,F7-T7,4.059706460742784,2.6062086800081935e-05,2.040945757079532,0.8744671400903284,49.28835806514058
DB4 LVL:3 THR:4.0 soft,T7-P7,3.352729720085312,3.1074306740125746e-05,2.430077788283291,0.857417028629599,52.2224847291149
DB4 LVL:3 THR:4.0 soft,P7-O1,4.571752020371812,2.6275836926901204e-05,2.0375245243710904,0.882982933257802,47.570511773350496
DB4 LVL:3 THR:4.0 soft,FP1-F3,5.599645963320703,3.0385780892114733e-05,1.217041636473475,0.9050250744243846,43.28020703650523
DB4 LVL:3 THR:4.0 soft,F3-C3,7.892507133359513,1.8062238317744344e-05,1.7056751018264735,0.9363201161686322,35.52242385667031
DB4 LVL:4 THR:0.5 hard,FP1-F7,5.0963456376818295,3.190407870356077e-05,1.1570610166259652,0.8996074995353891,44.70074552805146
DB4 LVL:4 THR:0.5 hard,F7-T7,5.899328910561845,2.2525493823339075e-05,1.7639919396140051,0.9071362857471627,42.59998877585499
DB4 LVL:4 THR:0.5 hard,T7-P7,3.996734069728192,2.98384067141131e-05,2.3334277414497793,0.8682911895773623,50.14547072603768
DB4 LVL:4 THR:0.5 hard,P7-O1,4.039777375257141,2.753228444309027e-05,2.1349540614374964,0.8702518315402197,49.845219579147404
DB4 LVL:4 THR:0.5 hard,FP1-F3,5.452159472651646,3.0856614486641404e-05,1.235899933728496,0.9016049505850663,43.95084227616577
DB4 LVL:4 THR:0.5 hard,F3-C3,6.969764557428174,1.979042515210523e-05,1.8688733280273664,0.9226872724105288,38.921193386434275
DB4 LVL:4 THR:0.5 soft,FP1-F7,5.070627840448764,3.192737331517176e-05,1.1579058392344772,0.8996408456277896,44.73338356519628
DB4 LVL:4 THR:0.5 soft,F7-T7,5.773703346100614,2.2606314814397634e-05,1.7703211050430532,0.9071259535837435,42.75283662633721
DB4 LVL:4 THR:0.5 soft,T7-P7,3.9022422336211227,2.9891385136370308e-05,2.3375707683002958,0.8684282687567313,50.23450456580881
DB4 LVL:4 THR:0.5 soft,P7-O1,4.011379730111818,2.7551207200774422e-05,2.1364214012964498,0.8702356919363813,49.879477870127914
DB4 LVL:4 THR:0.5 soft,FP1-F3,5.42753881189477,3.087986811079362e-05,1.236831311101769,0.9015918209557231,43.983963744106006
DB4 LVL:4 THR:0.5 soft,F3-C3,6.94254720420099,1.981188086817505e-05,1.8708994601184372,0.9226091743049415,38.96338965397171
